,StationID,Name,Intervals,Year Start,Year End
34,383,BOAT BLUFF,"['Hourly', 'Daily', 'Monthly']",1994,2001
35,384,BONILLA ISLAND,"['Hourly', 'Daily', 'Monthly']",1994,2001
36,8265,BONILLA ISLAND (AUT),"['Hourly', 'Daily', 'Monthly']",1994,2018
37,295,BOWEN ISLAND BOWEN BAY,"['Daily', 'Monthly']",1966,2014
38,6816,BOWEN ISLAND SUNSET PARK,"['Daily', 'Monthly']",1992,2017
39,1240,BRIDGE LAKE 2,"['Daily', 'Monthly']",1980,2010
40,1243,BUFFALO LAKE,"['Daily', 'Monthly']",1962,2016
41,1353,BUGABOO CREEK LODGE,"['Daily', 'Monthly']",1972,2006
42,720,BUNTZEN BAY,"['Daily', 'Monthly']",1971,2007
43,731,BURNABY SIMON FRASER U,"['Daily', 'Monthly']",1965,2017
44,574,BURNS LAKE DECKER LAKE,"['Hourly', 'Daily', 'Monthly']",1990,2018
45,43500,CALLAGHAN VALLEY,"['Hourly', 'Daily', 'Monthly']",2005,2018
46,45487,CALLAGHAN VALLEY (SKI JUMP TOP),"['Hourly', 'Daily']",2006,2010
47,47835,CALLAGHAN VALLEY BIATHLON HIGH LEVEL,"['Hourly', 'Daily']",2009,2010
48,47834,CALLAGHAN VALLEY CROSS COUNTRY HIGH LEVEL,['Hourly'],2009,2010
49,47833,CALLAGHAN VALLEY LOW LEVEL,"['Hourly', 'Daily']",2009,2010
50,45707,CALLAGHAN VALLEY(BIATHALON),"['Hourly', 'Daily']",2007,2010
51,46967,CALLAGHAN VALLEY(SKI JUMP BOTTOM),"['Hourly', 'Daily']",2008,2010
52,52979,CAMPBELL RIVER A,['Hourly'],2014,2018
53,145,CAMPBELL RIVER A,"['Hourly', 'Daily', 'Monthly']",1979,2013
54,51317,CAMPBELL RIVER A,['Hourly'],2013,2018
55,150,CAMPBELL RIVER SURFSIDE,"['Daily', 'Monthly']",1981,2015
56,235,CAPE BEALE LIGHT,"['Daily', 'Monthly']",1984,2018
57,152,CAPE MUDGE,"['Hourly', 'Daily', 'Monthly']",1994,2001
58,237,CAPE SCOTT,"['Hourly', 'Daily', 'Monthly']",1966,2001
59,10901,CAPE ST JAMES,"['Hourly', 'Daily', 'Monthly']",1993,2018
60,1355,CARIBOO LODGE,"['Daily', 'Monthly']",1975,2015
61,239,CARMANAH POINT,"['Daily', 'Monthly']",1968,2016
62,5017,CASTLE ROCK 6 NORTH,"['Daily', 'Monthly']",1991,2014
63,52938,CASTLEGAR A,['Hourly'],2014,2018
64,51458,CASTLEGAR A,['Hourly'],2013,2018
65,1105,CASTLEGAR A,"['Hourly', 'Daily', 'Monthly']",1954,2013
66,1106,CASTLEGAR BCHPA DAM,"['Daily', 'Monthly']",1969,2018
67,8264,CATHEDRAL POINT (AUT),"['Hourly', 'Daily', 'Monthly']",1994,2018
68,24,CENTRAL SAANICH ISL VIEW,"['Daily', 'Monthly']",1970,2008
69,1398,CHARLIE LAKE,"['Daily', 'Monthly']",1988,2015
70,153,CHATHAM POINT,"['Hourly', 'Daily', 'Monthly']",1994,2001
71,26,CHEMAINUS,"['Daily', 'Monthly']",1919,2018
72,51420,CHETWYND A,['Hourly'],2014,2018
73,1400,CHETWYND A,"['Hourly', 'Daily', 'Monthly']",1982,2014
74,52939,CHETWYND A,['Hourly'],2014,2018
75,735,CHILLIWACK,"['Daily', 'Monthly']",1879,2014
76,716,CHILLIWACK R HATCHERY,"['Daily', 'Monthly']",1961,2016
77,1251,CHINOOK COVE POSBY LAKE,"['Daily', 'Monthly']",1989,2007
78,51678,CHROME ISLAND,['Daily'],2013,2018
79,52398,CLEARWATER AUTO,"['Hourly', 'Daily']",2014,2018
80,1255,CLINTON (AUT),"['Hourly', 'Daily', 'Monthly']",1994,2018
81,51558,CLINTON A,"['Hourly', 'Daily']",2013,2018
82,53638,CLINTON RCS,"['Hourly', 'Daily']",2015,2018
83,747,CLOVERDALE EAST,"['Daily', 'Monthly']",1964,2018
84,155,COMOX A,"['Hourly', 'Daily', 'Monthly']",1953,2018
85,242,CONUMA RIVER HATCHERY,"['Daily', 'Monthly']",1989,2016
86,157,COOMBS,"['Daily', 'Monthly']",1960,2010
87,750,COQUITLAM COMO LAKE AVE,"['Daily', 'Monthly']",1972,2016
88,160,CORTES ISLAND TIBER BAY,"['Daily', 'Monthly']",1960,2017
89,161,COURTENAY GRANTHAM,"['Daily', 'Monthly']",1960,2017
90,135,COURTENAY MEADOWBROOK,"['Daily', 'Monthly']",1987,2010
91,162,COURTENAY PUNTLEDGE,"['Daily', 'Monthly']",1984,2017
92,37,COWICHAN LAKE FORESTRY,"['Daily', 'Monthly']",1949,2017
93,1174,CRANBROOK A,"['Hourly', 'Daily', 'Monthly']",1968,2012
94,50818,CRANBROOK A,"['Hourly', 'Daily']",2012,2018
95,50957,CRANBROOK A - HWOS CLIMATE,['Daily'],2012,2014
96,51818,CRANBROOK AIRPORT AUTO,"['Hourly', 'Daily']",2013,2018
97,26989,CRESCENT SPUR,"['Daily', 'Monthly']",1994,2015
98,1111,CRESTON,"['Daily', 'Monthly']",1912,2015
99,6838,CRESTON CAMPBELL SCIENTIFIC,"['Hourly', 'Daily', 'Monthly']",1994,2018
100,1113,CRESTON WPCC,"['Daily', 'Monthly']",1980,2006
101,1113,CRESTON WPCC,"['Daily', 'Monthly']",1980,2006
102,1256,CRISS CREEK,"['Daily', 'Monthly']",1988,2018
103,50368,CULTUS LAKE,['Hourly'],2012,2018
104,6822,CUMSHEWA ISLAND,"['Hourly', 'Daily', 'Monthly']",1994,2018
105,45490,CYPRESS BOWL FREESTYLE,"['Hourly', 'Daily']",2007,2010
106,48488,CYPRESS BOWL GRANDSTAND,"['Hourly', 'Daily']",2010,2010
107,44023,CYPRESS BOWL NORTH,"['Hourly', 'Daily', 'Monthly']",2005,2010
108,44024,CYPRESS BOWL SOUTH,"['Hourly', 'Daily', 'Monthly']",2005,2010
109,1257,DARFIELD,"['Daily', 'Monthly']",1956,2017
110,48208,DAWSON CREEK A,"['Hourly', 'Daily']",2009,2018
111,1404,DAWSON CREEK A,"['Hourly', 'Daily', 'Monthly']",1964,2009
112,44789,DAWSON CREEK LWIS,"['Hourly', 'Daily']",2006,2010
113,1454,DEASE LAKE,"['Hourly', 'Daily', 'Monthly']",1953,2012
114,6845,DEASE LAKE (AUT),"['Hourly', 'Daily', 'Monthly']",1994,2018
115,49628,DEASE LAKE A,"['Hourly', 'Daily']",2011,2018
116,30909,DEASE LAKE LWIS,"['Hourly', 'Daily', 'Monthly']",2000,2011
117,49088,DELTA BURNS BOG,"['Hourly', 'Daily']",2010,2018
118,766,DELTA TSAWWASSEN BEACH,"['Daily', 'Monthly']",1971,2018
119,27226,DISCOVERY ISLAND,"['Hourly', 'Daily', 'Monthly']",1997,2018
120,992,DOUGLAS LAKE,"['Daily', 'Monthly']",1979,2007
121,387,DRYAD POINT,"['Hourly', 'Daily', 'Monthly']",1994,2001
122,26990,DUNCAN GLENORA,"['Daily', 'Monthly']",1994,2010
123,46,DUNCAN KELVIN CREEK,"['Daily', 'Monthly']",1987,2016
124,1115,DUNCAN LAKE DAM,"['Daily', 'Monthly']",1963,2017
125,389,EGG ISLAND,"['Hourly', 'Daily', 'Monthly']",1969,2001
126,29411,ENTRANCE ISLAND,"['Hourly', 'Daily', 'Monthly']",1994,2018
127,132,ENTRANCE ISLAND,"['Daily', 'Monthly']",1987,2017
128,461,EQUITY SILVER,"['Daily', 'Monthly']",1981,2018
129,52,ESQUIMALT HARBOUR,"['Hourly', 'Daily', 'Monthly']",1994,2018
130,244,ESTEVAN POINT,"['Hourly', 'Daily', 'Monthly']",1953,1979
131,8040,ESTEVAN POINT CS,"['Hourly', 'Daily', 'Monthly']",1994,2018
132,29733,FANNY ISLAND,"['Hourly', 'Daily', 'Monthly']",2000,2018
133,1117,FAUQUIER,"['Daily', 'Monthly']",1913,2015
134,1180,FERNIE,"['Daily', 'Monthly']",1913,2018
135,1184,FORDING RIVER COMINCO,"['Daily', 'Monthly']",1970,2017
136,43723,FORT LANGLEY TELEGRAPH TRAIL,"['Daily', 'Monthly']",2005,2018
137,54098,FORT NELSON,"['Hourly', 'Daily']",2015,2018
138,50819,FORT NELSON A,"['Hourly', 'Daily']",2012,2018
139,1455,FORT NELSON A,"['Hourly', 'Daily', 'Monthly']",1953,2012
140,8248,FORT NELSON UA,"['Daily', 'Monthly']",1999,2017
141,588,FORT ST JAMES,"['Daily', 'Monthly']",1895,2018
142,51538,FORT ST JAMES AUTO,"['Hourly', 'Daily']",2013,2018
143,1388,FORT ST JOHN 8NW,"['Daily', 'Monthly']",1988,2007
144,1413,FORT ST JOHN A,"['Hourly', 'Daily', 'Monthly']",1953,2012
145,50997,FORT ST JOHN- HWOS CLIMATE,['Daily'],2012,2014
146,50837,FORT ST. JOHN A,"['Hourly', 'Daily']",2012,2018
147,1481,FRASER CAMP,"['Daily', 'Monthly']",1980,2008
148,557,FRASER LAKE NORTH SHORE,"['Daily', 'Monthly']",1969,2010
149,1186,FT STEELE DANDY CRK,"['Daily', 'Monthly']",1968,2018
150,172,GABRIOLA ISLAND,"['Daily', 'Monthly']",1967,2015
151,55,GALIANO NORTH,"['Daily', 'Monthly']",1975,2018
152,57,GANGES MANSELL RD,"['Daily', 'Monthly']",1974,2014
153,1415,GERMANSEN LANDING,"['Hourly', 'Daily', 'Monthly']",1953,1979
154,308,GIBSONS,"['Daily', 'Monthly']",1949,2006
155,309,GIBSONS GOWER POINT,"['Daily', 'Monthly']",1961,2018
156,1345,GLACIER NP MT FIDELITY,"['Daily', 'Monthly']",1969,2014
157,1363,GLACIER NP ROGERS PASS,"['Daily', 'Monthly']",1965,2014
158,246,GOLD RIVER TOWNSITE,"['Daily', 'Monthly']",1966,2016
159,52439,GOLDEN A,['Hourly'],2014,2018
160,52980,GOLDEN A,['Hourly'],2014,2018
161,1364,GOLDEN A,"['Hourly', 'Daily', 'Monthly']",1991,2014
162,54318,GOLDEN AIRPORT,"['Hourly', 'Daily']",2015,2018
163,1365,GOLDSTREAM RIVER,"['Daily', 'Monthly']",1982,2017
164,1360,GOLDSTREAM RIVER BREWSTER CREEK,"['Daily', 'Monthly']",1990,2008
165,1366,GOLDSTREAM RIVER STITT CREEK,"['Daily', 'Monthly']",1990,2008
166,1492,GRAHAM INLET,"['Daily', 'Monthly']",1973,2011
167,1084,GRAND FORKS,"['Daily', 'Monthly']",1941,2008
168,50579,GRAND FORKS HARDY MTN,['Daily'],2012,2015
169,393,GREEN ISLAND,"['Hourly', 'Daily', 'Monthly']",1970,2001
170,8258,GREY ISLET (AUT),"['Hourly', 'Daily', 'Monthly']",1994,2018
171,27449,GRIEF POINT,['Hourly'],1997,2018
172,773,HANEY EAST,"['Daily', 'Monthly']",1959,2011
173,776,HANEY UBC RF ADMIN,"['Daily', 'Monthly']",1961,2017
174,46027,HEDLEY N,['Daily'],2007,2017
175,996,HEDLEY NP MINE,"['Daily', 'Monthly']",1904,2015
176,27330,HENDERSON LAKE HATCHERY,"['Daily', 'Monthly']",1996,2007
177,8259,HERBERT ISLAND (AUT),"['Hourly', 'Daily', 'Monthly']",1994,2018
178,173,HERIOT BAY SE,"['Daily', 'Monthly']",1984,2018
179,998,HIGHLAND VALLEY LORNEX,"['Daily', 'Monthly']",1967,2011
180,592,HIXON,"['Daily', 'Monthly']",1970,2015
181,10998,HOLBERG CCR,"['Hourly', 'Daily']",1994,2001
182,6823,HOLLAND ROCK,"['Hourly', 'Daily', 'Monthly']",1994,2018
183,8152,HOPE (AUT),"['Hourly', 'Daily', 'Monthly']",2004,2012
184,49588,HOPE A,"['Hourly', 'Daily']",2011,2018
185,50517,HOPE AIRPORT,"['Hourly', 'Daily']",2012,2018
186,951,HOPE SLIDE,"['Hourly', 'Daily', 'Monthly']",1969,2014
187,52160,HOPE SLIDE A,['Hourly'],2014,2018
188,596,HORSEFLY LAKE GRUHS LAKE,"['Daily', 'Monthly']",1950,2016
189,470,HOUSTON,"['Daily', 'Monthly']",1957,2018
190,6817,HOWE SOUND - PAM ROCKS,"['Hourly', 'Daily', 'Monthly']",1994,2018
191,27006,HOWE SOUND STRACHAN CRK,"['Daily', 'Monthly']",1994,2006
192,395,IVORY ISLAND,"['Hourly', 'Daily', 'Monthly']",1994,2001
193,27122,JELLICOE,"['Daily', 'Monthly']",1995,2018
194,999,JOE RICH CREEK,"['Daily', 'Monthly']",1928,2008
195,1275,KAMLOOPS A,"['Hourly', 'Daily', 'Monthly']",1953,2013
196,51423,KAMLOOPS A,"['Hourly', 'Daily']",2013,2018
197,42203,KAMLOOPS AUT,"['Hourly', 'Daily', 'Monthly']",2006,2018
198,1216,KAMLOOPS PRATT ROAD,"['Daily', 'Monthly']",1986,2018
199,1124,KASLO,"['Daily', 'Monthly']",1894,2017
200,48369,KELOWNA,"['Hourly', 'Daily']",2009,2018
201,30954,KELOWNA AWOS,"['Hourly', 'Daily', 'Monthly']",2004,2009
202,30954,KELOWNA AWOS,"['Hourly', 'Daily', 'Monthly']",2004,2009
203,26993,KELOWNA CEDARCREEK,"['Daily', 'Monthly']",1994,2008
204,10976,KELOWNA MWS0,"['Daily', 'Monthly']",1994,2017
205,26932,KELOWNA QUAILS GATE,"['Daily', 'Monthly']",1995,2014
206,51117,KELOWNA UBCO,"['Hourly', 'Daily']",2012,2018
207,10853,KELP REEFS,['Hourly'],1997,2018
208,396,KEMANO,"['Daily', 'Monthly']",1951,2018
209,602,KERSLEY 2,"['Daily', 'Monthly']",1985,2010
210,1194,KIMBERLEY PCC,"['Daily', 'Monthly']",1975,2017
211,8062,KINDAKUN ROCKS (AUT),"['Hourly', 'Daily', 'Monthly']",1994,2018
212,403,KITIMAT 2,"['Daily', 'Monthly']",1966,2018
213,404,KITIMAT 3,"['Daily', 'Monthly']",1988,2013
214,27121,KITIMAT HATCHERY,"['Daily', 'Monthly']",1995,2017
215,402,KITIMAT TOWNSITE,"['Daily', 'Monthly']",1954,2018
216,521,KLEENA KLEENE 2,"['Daily', 'Monthly']",1980,2006
217,1199,KOOTENAY NP WEST GATE,"['Daily', 'Monthly']",1968,2017
218,794,LAIDLAW,"['Daily', 'Monthly']",1977,2015
219,40,LAKE COWICHAN,"['Daily', 'Monthly']",1960,2017
220,358,LANGARA,"['Hourly', 'Daily', 'Monthly']",1954,2001
221,6819,LANGARA ISLAND RCS,"['Hourly', 'Daily', 'Monthly']",1994,2017
222,1129,LARDEAU CREEK GALENA LODGE,"['Daily', 'Monthly']",1989,2008
223,257,LENNARD ISLAND,"['Daily', 'Monthly']",1980,2018
224,27388,LILLOOET,"['Hourly', 'Daily', 'Monthly']",1997,2018
225,1130,LISTER,"['Daily', 'Monthly']",1956,2015
226,181,LITTLE QUALICUM HATCHERY,"['Daily', 'Monthly']",1981,2017
227,317,LOIS RIVER DAM,"['Daily', 'Monthly']",1931,2007
228,6824,LUCY ISLAND LIGHTSTATION,"['Hourly', 'Daily', 'Monthly']",1994,2018
229,1297,LUMBY,"['Daily', 'Monthly']",1959,2010
230,523,LUNCH LAKE,"['Daily', 'Monthly']",1980,2009
231,961,LYTTON,"['Hourly', 'Daily', 'Monthly']",1994,2013
232,966,LYTTON 2,"['Daily', 'Monthly']",1917,2015
233,51598,LYTTON A,"['Hourly', 'Daily']",2013,2018
234,964,LYTTON BOTANIE VALLEY,"['Daily', 'Monthly']",1989,2006
235,44927,LYTTON RCS,"['Hourly', 'Daily', 'Monthly']",2006,2018
236,48870,MACKENZIE,"['Hourly', 'Daily']",2010,2018
237,1423,MACKENZIE A,"['Hourly', 'Daily', 'Monthly']",1971,2015
238,51517,MACKENZIE AIRPORT AUTO,"['Hourly', 'Daily']",2013,2018
239,65,MALAHAT,"['Hourly', 'Daily', 'Monthly']",1994,2018
240,319,MALIBU JERVIS INLET,"['Daily', 'Monthly']",1974,2012
241,53278,MAPLE RIDGE FERGUSON AVENUE,['Daily'],2015,2015
242,787,MAPLE RIDGE KANAKA CREEK,"['Daily', 'Monthly']",1986,2015
243,1200,MARYSVILLE,"['Daily', 'Monthly']",1972,2009
244,52940,MASSET A,['Hourly'],2014,2018
245,361,MASSET A,"['Daily', 'Monthly']",1944,2016
246,52339,MASSET A,['Hourly'],2014,2018
247,360,MASSET AIRPORT,"['Hourly', 'Daily', 'Monthly']",2005,2014
248,611,MCBRIDE ELDER CREEK,"['Daily', 'Monthly']",1985,2009
249,409,MCINNES ISLAND,"['Hourly', 'Daily', 'Monthly']",1955,2001
250,616,MCLEESE LAKE FRASERVIEW,"['Daily', 'Monthly']",1980,2016
251,617,MCLEESE LAKE GRANITE MT,"['Daily', 'Monthly']",1972,2017
252,1302,MCLURE,"['Daily', 'Monthly']",1967,2009
253,49408,MERRITT,"['Hourly', 'Daily']",2011,2018
254,1022,MERRITT STP,"['Daily', 'Monthly']",1968,2018
255,320,MERRY ISLAND LIGHTSTATION,"['Hourly', 'Daily', 'Monthly']",1954,2001
256,68,METCHOSIN,"['Daily', 'Monthly']",1911,2017
257,1367,MICA DAM,"['Daily', 'Monthly']",1951,2017
258,1091,MIDWAY,"['Daily', 'Monthly']",1987,2017
259,72,MILL BAY 1 SOUTHWEST,"['Daily', 'Monthly']",1989,2006
260,810,MISSION WEST ABBEY,"['Daily', 'Monthly']",1962,2017
261,1222,MONTE CREEK,"['Daily', 'Monthly']",1986,2007
262,6820,MORESBY ISLAND MITCHELL INLET,"['Daily', 'Monthly']",1991,2007
263,46567,MT WASHINGTON,"['Hourly', 'Daily']",2007,2010
264,187,MUD BAY,"['Daily', 'Monthly']",1971,2015
265,1470,MUNCHO LAKE,"['Hourly', 'Daily', 'Monthly']",1994,2014
266,52158,MUNCHO LAKE A,['Hourly'],2014,2018
267,188,MYRA CREEK,"['Daily', 'Monthly']",1979,2015
268,698,N VAN SEYMOUR HATCHERY,"['Daily', 'Monthly']",1981,2017
269,823,N VANC GROUSE MTN RESORT,"['Daily', 'Monthly']",1971,2017
270,696,N VANC SONORA DR,"['Daily', 'Monthly']",1976,2011
271,830,N VANCOUVER 2ND NARROWS,"['Daily', 'Monthly']",1957,2008
272,833,N VANCOUVER WHARVES,"['Daily', 'Monthly']",1962,2018
273,6840,NAKUSP CS,"['Hourly', 'Daily', 'Monthly']",1994,2018
274,52941,NANAIMO A,['Hourly'],2014,2018
275,192,NANAIMO A,"['Hourly', 'Daily', 'Monthly']",1954,2013
276,51318,NANAIMO A,"['Hourly', 'Daily']",2013,2018
277,189,NANAIMO CITY YARD,"['Daily', 'Monthly']",1981,2018
278,52058,NANOOSE BAY AUTO,['Hourly'],2014,2015
279,195,NANOOSE BAY SOUTH,"['Daily', 'Monthly']",1988,2007
280,482,NASS CAMP,"['Daily', 'Monthly']",1973,2015
281,6839,NELSON CS,"['Hourly', 'Daily', 'Monthly']",1994,2018
282,1137,NELSON NE,"['Daily', 'Monthly']",1983,2018
283,1095,NELSON RIXEN CREEK,"['Daily', 'Monthly']",1990,2017
284,1142,NEW DENVER,"['Daily', 'Monthly']",1924,2018
285,260,NITINAT RIVER HATCHERY,"['Daily', 'Monthly']",1981,2017
286,261,NOOTKA LIGHTSTATION,"['Hourly', 'Daily', 'Monthly']",1994,2001
287,46728,NORTH COWICHAN,"['Hourly', 'Daily']",2007,2018
288,76,NORTH COWICHAN,"['Daily', 'Monthly']",1981,2018
289,77,NORTH PENDER ISLAND,"['Daily', 'Monthly']",1972,2018
290,1032,OKANAGAN CENTRE,"['Daily', 'Monthly']",1925,2018
291,1037,OLIVER,"['Daily', 'Monthly']",1938,2008
292,1039,OLIVER STP,"['Daily', 'Monthly']",1924,2017
293,535,OOTSA L SKINS L SPILLWAY,"['Daily', 'Monthly']",1956,2017
294,43963,OOTSA LAKESKINS LAKE CLIMATE,"['Hourly', 'Daily', 'Monthly']",2005,2018
295,1041,OSOYOOS CS,"['Hourly', 'Daily', 'Monthly']",1994,2018
296,1043,OSOYOOS WEST,"['Daily', 'Monthly']",1967,2009
297,196,OYSTER RIVER UBC,"['Daily', 'Monthly']",1967,2006
298,262,PACHENA POINT,"['Hourly', 'Daily', 'Monthly']",1953,1958
299,1046,PEACHLAND,"['Daily', 'Monthly']",1971,2017
300,26994,PEACHLAND GREATA RANCH,"['Daily', 'Monthly']",1994,2008
301,46747,PEMBERTON AIRPORT (WIND),['Hourly'],2007,2018
302,536,PEMBERTON AIRPORT CS,"['Hourly', 'Daily', 'Monthly']",1988,2018
303,536,PEMBERTON AIRPORT CS,"['Hourly', 'Daily', 'Monthly']",1988,2018
304,48308,PEMBERTON AIRPORT CWS,"['Hourly', 'Daily']",2010,2010
305,323,PENDER HARBOUR,"['Daily', 'Monthly']",1961,2018
306,1053,PENTICTON A,"['Hourly', 'Daily', 'Monthly']",1953,2012
307,50269,PENTICTON A,"['Hourly', 'Daily']",2012,2018
308,1310,PINANTAN LAKE,"['Daily', 'Monthly']",1986,2006
309,200,PINE ISLAND,"['Hourly', 'Daily', 'Monthly']",1994,2001
310,6830,PITT MEADOWS CS,"['Hourly', 'Daily', 'Monthly']",1994,2018
311,842,PITT POLDER,"['Daily', 'Monthly']",1951,2010
312,1504,PLEASANT CAMP,"['Daily', 'Monthly']",1974,2018
313,844,POINT ATKINSON,"['Hourly', 'Daily', 'Monthly']",1996,2018
314,8045,PORT ALBERNI (AUT),"['Hourly', 'Daily', 'Monthly']",1994,2018
315,266,PORT ALBERNI COX LAKE,"['Daily', 'Monthly']",1987,2017
316,269,PORT ALICE,"['Daily', 'Monthly']",1924,2015
317,51319,PORT HARDY A,"['Hourly', 'Daily']",2013,2018
318,202,PORT HARDY A,"['Hourly', 'Daily', 'Monthly']",1953,2013
319,45267,PORT MELLON,"['Hourly', 'Daily', 'Monthly']",2006,2018
320,834,PORT MOODY GLENAYRE,"['Daily', 'Monthly']",1970,2018
321,82,PORT RENFREW,"['Daily', 'Monthly']",1970,2014
322,45807,POWELL RIVER,"['Hourly', 'Daily']",2007,2018
323,326,POWELL RIVER,"['Daily', 'Monthly']",1924,2007
324,327,POWELL RIVER A,"['Hourly', 'Daily', 'Monthly']",1982,2013
325,52018,POWELL RIVER A,['Hourly'],2013,2018
326,51438,POWELL RIVER A,['Hourly'],2013,2018
327,48370,PRINCE GEORGE,"['Hourly', 'Daily']",2009,2018
328,631,PRINCE GEORGE A,"['Hourly', 'Daily', 'Monthly']",1953,2009
329,48248,PRINCE GEORGE AIRPORT AUTO,"['Hourly', 'Daily']",2009,2018
330,50169,PRINCE GEORGE MASSEY AUTO,['Hourly'],2012,2018
331,636,PRINCE GEORGE STP,"['Daily', 'Monthly']",1975,2018
332,632,PRINCE GEORGE WEST LAKE,"['Daily', 'Monthly']",1970,2011
333,48693,PRINCE RUPERT,"['Hourly', 'Daily']",2010,2018
334,422,PRINCE RUPERT A,"['Hourly', 'Daily', 'Monthly']",1961,2005
335,27991,PRINCE RUPERT AWOS,"['Hourly', 'Daily', 'Monthly']",2004,2012
336,424,PRINCE RUPERT MONT CIRC,"['Daily', 'Monthly']",1959,2018
337,52958,PRINCETON A,['Hourly'],2014,2018
338,51439,PRINCETON A,['Hourly'],2013,2018
339,1056,PRINCETON A,"['Hourly', 'Daily', 'Monthly']",1953,2013
340,6834,PRINCETON CS,"['Hourly', 'Daily', 'Monthly']",1994,2018
341,541,PUNTCHESAKUT LAKE,"['Daily', 'Monthly']",1973,2008
342,8092,PUNTZI MOUNTAIN (AUT),"['Hourly', 'Daily', 'Monthly']",1994,2018
343,45627,QUALICUM BEACH AIRPORT,"['Hourly', 'Daily', 'Monthly']",2006,2018
344,208,QUALICUM R FISH RESEARCH,"['Daily', 'Monthly']",1962,2017
345,271,QUATSINO,"['Daily', 'Monthly']",1895,2017
346,272,QUATSINO LIGHTSTATION,"['Hourly', 'Daily', 'Monthly']",1994,2001
347,48688,QUESNEL,"['Hourly', 'Daily']",2010,2018
348,640,QUESNEL A,"['Hourly', 'Daily', 'Monthly']",1953,2006
349,48108,QUESNEL AIRPORT AUTO,"['Hourly', 'Daily']",2009,2018
350,30967,QUESNEL AWOS,"['Hourly', 'Daily', 'Monthly']",2005,2011
351,209,QUINSAM RIVER HATCHERY,"['Daily', 'Monthly']",1975,2018
352,10943,RACE ROCKS,"['Hourly', 'Daily']",1994,2018
353,1313,RED LAKE,"['Daily', 'Monthly']",1974,2018
354,1370,REVELSTOKE A,"['Hourly', 'Daily', 'Monthly']",1994,2014
355,49492,REVELSTOKE A,"['Hourly', 'Daily']",2011,2018
356,49548,REVELSTOKE AIRPORT AUTO,"['Hourly', 'Daily']",2011,2018
357,46147,REVELSTOKE COLUMBIA PARK,['Daily'],2007,2015
358,853,RICHMOND DALLYN 2,"['Daily', 'Monthly']",1963,2017
359,837,RICHMOND NATURE PARK,"['Daily', 'Monthly']",1977,2017
360,48448,RICHMOND OPERATIONS CENTRE,"['Hourly', 'Daily']",2010,2018
361,8064,ROSE SPIT (AUT),"['Hourly', 'Daily', 'Monthly']",1994,2018
362,1316,RUTH LAKE,"['Daily', 'Monthly']",1987,2013
363,87,SAANICHTON CDA,"['Daily', 'Monthly']",1914,2018
